id,created_at,tweet,lang,source,retweet_count,user.favourites_count,user.followers_count,user.name,user.profile_image_url
1319363252535521281,2020-10-22 19:41:26,realdonaldtrump tactics  put tail legs go  go far far away,en,Twitter for iPhone,6413,57745,824,Kloffer,http://pbs.twimg.com/profile_images/1354594773324029954/L5qBbDIt_normal.jpg
1319365945496866821,2020-10-22 19:52:08,rt petebuttigieg  tonight  debate   fox news 6pm et hope  tune watch ,en,Twitter Web App,0,64417,1702,Selebiss,http://pbs.twimg.com/profile_images/1396118885171085314/ymnspCNP_normal.jpg
1319335973197578241,2020-10-22 17:53:02,rt caslernoel  kushner amp  burnett decided  going name new network yet  realdonaldtrump,en,Twitter for iPhone,4,27829,1187,Steve G,http://pbs.twimg.com/profile_images/1349504318215487489/QaJ0G0fs_normal.jpg
1319315773727203329,2020-10-22 16:32:46,trump  entire schtick defrauding suckers convincing  everything interest   ,en,Twitter for iPhone,335,44173,264,sarah,http://pbs.twimg.com/profile_images/1241571898233745408/RIHj2THd_normal.jpg
1319415174776827904,2020-10-22 23:07:45,rt chicago1ray  realdonaldtrump nypost fact speakerpelosi refused take questions  tells need know h ,en,Twitter Web App,3,294712,3203,"""Dr"" Nichole 🤍",http://pbs.twimg.com/profile_images/1310140832696082432/RT76B7ZV_normal.jpg
1319330797095165952,2020-10-22 17:32:28,rt jaketapper  among offenses   stahl repeatedly asks   people pre existing conditions protected trump hea ,en,Twitter for Android,1,20293,876,E,http://pbs.twimg.com/profile_images/1457015932526673923/wQAyPaac_normal.jpg
1319406618610667523,2020-10-22 22:33:45,rt c_3c_3  trump losing senior vote   leading villages  sumner county  florida 65  experts  caught anothe ,en,Twitter for iPhone,0,4504,508,ALDG2222,http://pbs.twimg.com/profile_images/1445141777564983300/XaMVyfAE_normal.jpg
1319378875881787395,2020-10-22 20:43:31,rt ddale8  trump denied encouraging crowds  lock  em chants  saying   say     wrong goes quiet ,en,Twitter Web App,0,801,274,Rudy Gonzales,http://pbs.twimg.com/profile_images/2583258385/New_Eagle_11-24-2011_9-13-51_PM_183x183_normal.jpg
1319404902381023232,2020-10-22 22:26:56,rt sarahcpr   know leslie stahl even gives trump time day ,en,Twitter for iPhone,0,35523,293,Shawty McFooknuts,http://pbs.twimg.com/profile_images/378800000828686861/e0f1b7d2f201ec8eea3e29ac90a9f100_normal.jpeg
1319307413871157253,2020-10-22 15:59:33,rt djrothkopf  tonight  debate  asked  kwelkernbc   trump deny minimize russia  involvement draw attention ,en,Twitter for iPhone,0,11973,5,stillsmiling,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
